ID,KEYS,VALUES
0,"Display a default value in some form inputs on a task form, and save the value to process when submitting.","a!formLayout(label:""Example: Default Value"",contents:{a!textField(label:""Case Title"",value:ri!title,saveInto:ri!title,required:true)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true)))"
1,Allow the user to change data directly in an inline editable grid.,"a!localVariables(/**local!employessisprovidedinthisrecipeasawaytostartwithhard-coded*data.However,thisdataisidenticaltothedatacreatedfromtheentity-backed*tutorial.Replacethehard-codeddatawithaquerytotheemployeedatastore*entityandalloftheemployeerecordsfromthetutorialwillappear.**Toreplacethisdatawithyourown,replace(ctrl+Horcmd+H)allreferencesto*local!employeeswithyourdatasource,eitherviaruleinputorlocalvariable.*/local!employees:{a!map(id:1,firstName:""John"",lastName:""Smith"",department:""Engineering"",title:""Director"",phoneNumber:""555-123-4567"",startDate:today()-360),a!map(id:2,firstName:""Michael"",lastName:""Johnson"",department:""Finance"",title:""Analyst"",phoneNumber:""555-987-6543"",startDate:today()-360),a!map(id:3,firstName:""Mary"",lastName:""Reed"",department:""Engineering"",title:""Software Engineer"",phoneNumber:""555-456-0123"",startDate:today()-240),},a!formLayout(label:""Example: Add,Update, or Remove Employee Data"",contents:{a!gridLayout(totalCount:count(local!employees),headerCells:{a!gridLayoutHeaderCell(label:""First Name""),a!gridLayoutHeaderCell(label:""Last Name""),a!gridLayoutHeaderCell(label:""Department""),a!gridLayoutHeaderCell(label:""Title""),a!gridLayoutHeaderCell(label:""Phone Number""),a!gridLayoutHeaderCell(label:""Start Date"",align:""RIGHT""),/*Forthe""Remove""column*/a!gridLayoutHeaderCell(label:"""")},/*Onlyneededwhensomecolumnsneedtobenarrow*/columnConfigs:{a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),a!gridLayoutColumnConfig(width:""ICON"")},/**a!forEach()willtakelocal!employeedataandusedthatdatatoloopthroughan*expressionthatcreateseachrow.**Whenmodifyingtherecipetoworkwithyourdata,youonlyneedtochange:*1.)thenumberoffieldsineachrow*2.)thetypesoffieldsforeachcolumn(i.e.a!textField()fortextdataelements)*3.)thefv!itemelements.Forexamplefv!item.firstNamewouldchangetofv!item.yourdata*/rows:a!forEach(items:local!employees,expression:a!gridRowLayout(contents:{/*FortheFirstNameColumn*/a!textField(/*Labelsarenotvisibleingridcellsbutarenecessarytomeetaccessibilityrequirements*/label:""first name ""&fv!index,value:fv!item.firstName,saveInto:fv!item.firstName,required:true),/*FortheLastNameColumn*/a!textField(label:""last name ""&fv!index,value:fv!item.lastName,saveInto:fv!item.lastName,required:true),/*FortheDepartmentColumn*/a!dropdownField(label:""department ""&fv!index,placeholder:""-- Select -- "",choiceLabels:{""Corporate"",""Engineering"",""Finance"",""Human Resources"",""Professional Services"",""Sales""},choiceValues:{""Corporate"",""Engineering"",""Finance"",""Human Resources"",""Professional Services"",""Sales""},value:fv!item.department,saveInto:fv!item.department,required:true),/*FortheTitleColumn*/a!textField(label:""title ""&fv!index,value:fv!item.title,saveInto:fv!item.title,required:true),/*ForthePhoneNumberColumn*/a!textField(label:""phone number ""&fv!index,placeholder:""555-456-7890"",value:fv!item.phoneNumber,saveInto:fv!item.phoneNumber),/*FortheStartDateColumn*/a!dateField(label:""start date ""&fv!index,value:fv!item.startDate,saveInto:fv!item.startDate,required:true,align:""RIGHT""),/*FortheRemovalColumn*/a!richTextDisplayField(value:a!richTextIcon(icon:""close"",altText:""delete ""&fv!index,caption:""Remove ""&fv!item.firstName&"" ""&fv!item.lastName,link:a!dynamicLink(value:fv!index,saveInto:{a!save(local!employees,remove(local!employees,save!value))}),linkStyle:""STANDALONE"",color:""NEGATIVE""))},id:fv!index)),addRowlink:a!dynamicLink(label:""Add Employee"",/**Foryourusecase,setthevaluetoablankinstanceofyourCDTusing*thetypeconstructor,e.g.type!Employee().Onlyspecifythefield*ifyouwanttogiveitadefaultvaluee.g.startDate:today()+1.*/value:{startDate:today()+1},saveInto:{a!save(local!employees,append(local!employees,save!value))}),rowHeader:1)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
2,"In an inline editable grid, track the employees that are added for further processing in the next process steps.","a!localVariables(/*Inarealapp,thesevaluesshouldbeheldinthedatabaseorinaconstant*/local!departments:{""Corporate"",""Engineering"",""Finance"",""HR"",""Professional Services"",""Sales""},/**local!employeesisprovidedinthisrecipeasawaytostartwithhard-coded*data.However,thisdataisidenticaltothedatacreatedfromtheentity-backed*tutorial.Replacethehard-codeddatawithaquerytotheemployeedatastore*entityandalloftheemployeerecordsfromthetutorialwillappear.**Toreplacethisdatawithyourown,replace(ctrl+Horcmd+H)allreferencesto*local!employeeswithyourdatasource,eitherviaruleinputorlocalvariable.*/local!employees:{a!map(id:1,firstName:""John"",lastName:""Smith"",department:""Engineering"",title:""Director"",phoneNumber:""555-123-4567"",startDate:today()-360),a!map(id:2,firstName:""Michael"",lastName:""Johnson"",department:""Finance"",title:""Analyst"",phoneNumber:""555-987-6543"",startDate:today()-360),a!map(id:3,firstName:""Mary"",lastName:""Reed"",department:""Engineering"",title:""Software Engineer"",phoneNumber:""555-456-0123"",startDate:today()-240)},local!deletedEmployeeIds,a!formLayout(label:""Example: Inline Editable Grid Tracking Adds and Deletes"",contents:{a!gridLayout(totalCount:count(local!employees),headerCells:{a!gridLayoutHeaderCell(label:""First Name""),a!gridLayoutHeaderCell(label:""Last Name""),a!gridLayoutHeaderCell(label:""Department""),a!gridLayoutHeaderCell(label:""Title""),a!gridLayoutHeaderCell(label:""Phone Number""),a!gridLayoutHeaderCell(label:""Start Date"",align:""RIGHT""),/*Forthe""Remove""column*/a!gridLayoutHeaderCell(label:"""")},/*Onlyneededwhensomecolumnsneedtobenarrow*/columnConfigs:{a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),a!gridLayoutColumnConfig(width:""ICON"")},/**a!forEach()willtakelocal!employeedataandusedthatdatatoloopthroughan*expressionthatcreateseachrow.**Whenmodifyingtherecipetoworkwithyourdata,youonlyneedtochange:*1.)thenumberoffieldsineachrow*2.)thetypesoffieldsforeachcolumn(i.e.a!textField()fortextdataelements)*3.)thefv!itemelements.Forexamplefv!item.firstNamewouldchangetofv!item.yourdata*/rows:a!forEach(items:local!employees,expression:a!gridRowLayout(contents:{/*FortheFirstNameColumn*/a!textField(/*Labelsarenotvisibleingridcellsbutarenecessarytomeetaccessibilityrequirements*/label:""first name ""&fv!index,value:fv!item.firstName,saveInto:fv!item.firstName,required:true),/*FortheLastNameColumn*/a!textField(label:""last name ""&fv!index,value:fv!item.lastName,saveInto:fv!item.lastName,required:true),/*FortheDepartmentColumn*/a!dropdownField(label:""department ""&fv!index,placeholder:""-- Please Select-- "",choiceLabels:local!departments,choiceValues:local!departments,value:fv!item.department,saveInto:fv!item.department,required:true),/*FortheTitleColumn*/a!textField(label:""title ""&fv!index,value:fv!item.title,saveInto:fv!item.title,required:true),/*ForthePhoneNumberColumn*/a!textField(label:""phone number ""&fv!index,placeholder:""555-456-7890"",value:fv!item.phoneNumber,saveInto:fv!item.phoneNumber,validations:if(len(fv!item.phoneNumber)>12,""Contains more than 12 characters. Please reenter phone number, and include only numbers and dashes"",null)),/*FortheStartDateColumn*/a!dateField(label:""start date ""&fv!index,value:fv!item.startDate,saveInto:fv!item.startDate,required:true,align:""RIGHT""),/*FortheRemovalColumn*/a!imageField(label:""delete ""&fv!index,images:a!documentImage(document:a!iconIndicator(""REMOVE""),altText:""Remove Employee"",caption:""Remove ""&fv!item.firstName&"" ""&fv!item.lastName,link:a!dynamicLink(value:fv!index,saveInto:{if(isnull(fv!item.id),{},a!save(local!deletedEmployeeIds,append(local!deletedEmployeeIds,fv!item.id))),a!save(local!employees,remove(local!employees,save!value))})),size:""ICON"")},id:fv!index)),addRowlink:a!dynamicLink(label:""Add Employee"",/**Foryourusecase,setthevaluetoablankinstanceofyourCDTusing*thetypeconstructor,e.g.type!Employee().Onlyspecifythefield*ifyouwanttogiveitadefaultvaluee.g.startDate:today()+1.*/value:{firstName:"""",lastName:"""",department:"""",title:"""",phoneNumber:"""",startDate:today()+1},saveInto:{a!save(local!employees,append(local!employees,save!value))}),/*Thisvalidationpreventsexistingemployeestartdatefromchangingtoadateinthefuture*/validations:if(a!forEach(items:local!employees,expression:and(not(isnull(fv!item.id)),todate(fv!item.startDate)>today())),""Existing Employees cannot have an effective start date beyond today"",null),rowHeader:1),a!textField(label:""New Employees"",labelPosition:""ADJACENT"",value:joinarray(index(local!employees,where(a!forEach(local!employees,isnull(fv!item.id))),{}),char(10)),readOnly:true),a!textField(label:""Deleted Employees"",labelPosition:""ADJACENT"",value:local!deletedEmployeeIds,readOnly:true)},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
3,"Add and populate a dynamic number of sections, one for each item in a CDT array.","a!localVariables(/*Asectionwillbecreatedforeverylabelvaluearraypresent*/local!records:{'type!{http://www.appian.com/ae/types/2009}LabelValue'()},{a!forEach(items:local!records,expression:a!sectionLayout(label:""Section ""&fv!index,contents:{a!textField(label:""Label"",instructions:if(fv!isLast,""Value of local!records: ""&local!records,{}),value:fv!item.label,saveInto:{fv!item.label,if(fv!isLast,/*Thisvalueappendsanewsectionarraytosection*/a!save(local!records,append(local!records,cast(typeof(local!records),null))),{})},refreshAfter:""KEYPRESS""),a!textField(label:""Value"",value:fv!item.value,saveInto:fv!item.value,refreshAfter:""KEYPRESS""),a!buttonArrayLayout(a!buttonWidget(label:""Remove"",value:fv!index,saveInto:{a!save(local!records,remove(local!records,fv!index))},showWhen:not(fv!isLast)))}))})"
4,"Enforce that the user enters at least a certain number of characters in their text field, and also enforce that it contains the ""@"" character.","a!localVariables(local!varA,a!formLayout(label:""Example: Multiple Validation Rules on One Component"",contents:{a!textField(label:""Text"",instructions:""Enter at least 5 characters, and include the @ character"",value:local!varA,saveInto:local!varA,validations:{if(len(local!varA)>=5,null,""Enter at least 5 characters""),if(isnull(local!varA),null,if(find(""@"",local!varA)<>0,null,""You need an @ character!""))})},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
5,"This recipe provides a common configuration of the [Gauge Component](Gauge_Component.md) using [a!gaugeFraction()](Gauge_Fraction_Component.md) and [a!gaugePercentage()](Gauge_Percentage_Component.md), and includes a walkthrough that demonstrates the benefits of using design mode when configuring the gauge component.","a!localVariables(local!tasksCompleted:5,local!totalTasks:11,{a!sectionLayout(label:""My Tasks"",contents:{})})"
6,"This pattern illustrates how to create two different charts. One chart shows sales (calculated in US dollars) by country and the currency paid. The other shows sales by currency type, comparing the number of sales paid in US dollars versus the local currency.","a!customFieldDefaultValue(value:'recordType!{ad898682-e651-4b2d-af67-47c1fcb1171f}Order.relationships.{e84d7c2c-3d92-49ad-a683-3d77c4287c14}currencyRate.relationships.{49d04656-5c49-4793-beab-acff7bf3ff9b}toCurrency.fields.{3355f795-4a22-413e-a1bc-5d22269e4ae4}name',default:""US Dollars"")"
7,Show a dynamic number of files in a grid and edit certain file attributes.,"a!localVariables(/**local!filesarestoredinaconstanthere.However,thissourcewouldtypicallycomefrom*processdataorqueriedfromarelationaldatabase.local!fileMapsimulatesadata*structurethatwouldtypicallyholdfilemetadata.*/local!files:cons!DOCUMENT_GIF_IMAGE,local!fileMap:a!forEach(items:local!files,expression:a!map(file:fv!item,fileCategory:"""",newFileName:document(fv!item,""name""),newFileDescription:document(fv!item,""description""))),a!sectionLayout(contents:{a!gridLayout(label:""Example: Display Multiple Files in a Grid"",totalCount:count(local!files),headerCells:{a!gridLayoutHeaderCell(label:""File""),a!gridLayoutHeaderCell(label:""Name""),a!gridLayoutHeaderCell(label:""Description""),a!gridLayoutHeaderCell(label:""Category""),a!gridLayoutHeaderCell(label:""Size (KB)"",align:""RIGHT"")},columnConfigs:{a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:3),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),a!gridLayoutColumnConfig(width:""DISTRIBUTE"",weight:2),},rows:a!forEach(items:local!fileMap,expression:a!gridRowLayout(contents:{a!linkField(/*Labelsarenotvisibleingridcellsbutarenecessarytomeetaccessibilityrequirements*/label:""File""&fv!index,links:a!documentDownloadLink(label:document(fv!item.file,""name"")&"".""&document(fv!item.file,""extension""),document:fv!item.file),value:fv!item.newFileName,readOnly:true),a!textField(label:""File Name ""&fv!index,value:fv!item.newFileName,saveInto:fv!item.newFileName),a!textField(label:""Description ""&fv!index,value:fv!item.newFileDescription,saveInto:fv!item.newFileDescription,readOnly:false),a!dropdownField(label:""category ""&fv!index,placeholder:""-- Please Select--"",choiceLabels:{""Resume"",""Cover Letter"",""Other""},choiceValues:{""Resume"",""Cover Letter"",""Other""},value:fv!item.fileCategory,saveInto:fv!item.fileCategory),a!textField(label:""title ""&fv!index,value:round(document(fv!item.file,""size"")/1000),align:""RIGHT"",readOnly:true)},id:fv!index)),rowHeader:2),a!textField(label:""Value of Document Dictionary"",readOnly:true,value:local!fileMap)}))"
8,Show a dynamic number of text components to simulate a multi-text input box. A new text box is shown as soon as the user starts typing into the last input box.,"a!localVariables(local!guests:{""""},a!formLayout(label:""Example: Add Text Components Dynamically"",contents:{a!forEach(items:local!guests,expression:a!textField(label:if(fv!isFirst,""Guest Names"",""""),value:fv!item,saveInto:{fv!item,if(fv!isLast,a!save(local!guests,append(local!guests,"""")),{})},refreshAfter:""KEYPRESS""))},buttons:a!buttonLayout(primaryButtons:a!buttonWidget(label:""Submit"",submit:true))))"
9,Conditionally hide a column in a read-only grid when all data for that column is a specific value.,"a!localVariables(/*Inyourapplication,replacethevaluesdefinedbylocal!departments*withaconstantthatstoresthefiltervaluesyouwanttouseinyour*grid.Thenusecons!<constantname>toreferencetheconstantin*local!departments.*/local!departments:{""Corporate"",""Engineering"",""Finance"",""HR"",""Professional Services"",""Sales""},/*Usealocalvariabletoholdthenameofthedepartmentfilterthe*userselectsinthefilterdropdown.Thisexample,uses*local!selectedDepartment*/local!selectedDepartment,{a!sectionLayout(label:"""",contents:{a!richTextDisplayField(value:{a!richTextItem(/*ThedepartmentnameisappendedtoEmployeesanddisplayed*onlywhentheuserselectsadepartmentfilterinthe*dropdownlist.*/text:{""Employees""&if(isnull(local!selectedDepartment),null,"" in ""&upper(local!selectedDepartment))},size:""MEDIUM"",style:{""STRONG""})}),a!columnsLayout(columns:{a!columnLayout(contents:{/*WeusedthedropdownField()componenttocreatean*adhocuserfilterforthegrid.Itpullsinthe*departmentnamesstoredinlocal!departmentsas*choiceLabelsandchoiceValuesandsavesthefilter*valueselectedbytheuserinlocal!selectedDepartment.*/a!dropdownField(label:""Department "",placeholder:""-- Filter By Department -- "",choiceLabels:local!departments,choiceValues:local!departments,value:local!selectedDepartment,saveInto:local!selectedDepartment)},width:""NARROW_PLUS"")}),a!gridField(data:a!recordData(recordType:recordType!Employee,filters:a!queryLogicalExpression(operator:""AND"",filters:{a!queryFilter(field:recordType!Employee.fields.department,operator:""="",value:local!selectedDepartment)},ignoreFiltersWithEmptyValues:true)),columns:{a!gridColumn(label:""First Name"",sortField:recordType!Employee.fields.firstName,value:fv!row[recordType!Employee.fields.firstName]),a!gridColumn(label:""Last Name"",sortField:recordType!mployee.fields.lastName,value:fv!row[recordType!Employee.fields.lastName]),a!gridColumn(label:""Department"",sortField:recordType!Employee.fields.department,value:fv!row[recordType!Employee.fields.department],/*TheDepartmentcolumnisshownonlywhentheuserhasnot*selectedadepartmentfilterinthedropdownlist.*/showWhen:isnull(local!selectedDepartment)),a!gridColumn(label:""Title"",sortField:recordType!Employee.fields.title,value:fv!row[recordType!Employee.fields.title]),/*ThePhoneNumbercolumnisshownwhentheuserselects*aDepartmentfilter.*/a!gridColumn(label:""Phone Number"",sortField:recordType!Employee.fields.phoneNumber,value:fv!row[recordType!Employee.fields.phoneNumber],showwhen:not(isnull(local!selectedDepartment)))})})})"
